51081.283686 20.040 0.057
51819.354817 19.970 0.045
52558.320053 20.577 0.071
52577.207554 20.480 0.056
52586.211031 20.438 0.057
52910.291513 20.478 0.055
52931.221715 20.537 0.069
52935.218679 20.593 0.066
52959.162007 20.438 0.050
52963.141751 20.403 0.049
53313.211880 19.979 0.058
53352.112817 19.963 0.041
53622.321120 20.232 0.063
53634.270589 20.174 0.154
53636.276123 20.342 0.109
53638.311923 20.076 0.053
#53640.275959 -99.000 0.123
53655.248130 20.104 0.110
53664.273086 20.107 0.089
53666.236691 20.189 0.057
53669.232328 20.157 0.045
53671.317102 20.250 0.082
53674.216565 20.191 0.057
53676.306044 20.120 0.058
53679.277935 20.199 0.067
53681.269447 20.141 0.056
53685.228498 20.307 0.188
53694.242377 20.211 0.226
53697.226472 20.217 0.062
53700.225430 20.377 0.068
53705.212100 20.379 0.067
53975.297128 20.212 0.051
53993.364955 20.059 0.051
53994.320115 20.146 0.040
53996.303839 20.102 0.046
#53998.272586 -99.000 0.550
54005.302708 20.149 0.042
54010.257987 20.209 0.055
54012.250842 20.272 0.094
54020.256825 20.177 0.080
54024.338359 20.092 0.059
54028.247147 20.138 0.054
54030.250358 20.165 0.044
54035.326081 20.084 0.078
54037.231569 20.030 0.046
54040.246082 20.203 0.096
#54047.276933 -99.000 0.192
54049.272599 20.123 0.115
54053.236867 20.229 0.046
54056.238546 20.026 0.070
#54059.233053 -99.000 0.118
54062.237772 20.138 0.081
54068.218292 20.333 0.154
#54357.275977 -99.000 0.052
#54362.325876 -99.000 0.054
54382.306020 20.051 0.052
54385.323799 20.031 0.043
#54387.324366 -99.000 0.059
54392.319038 20.060 0.053
#54402.317677 -99.000 0.157
 
