51081.282852 19.915 0.045
51819.353983 19.819 0.031
52558.319219 20.061 0.031
52577.206720 20.112 0.038
52586.210197 20.083 0.044
52910.290679 20.161 0.034
52931.220881 20.244 0.040
52935.217845 20.194 0.040
52959.161173 20.142 0.029
52963.140917 20.177 0.035
53313.211046 19.810 0.044
53352.111983 19.813 0.030
53622.320286 19.840 0.041
53634.269755 19.856 0.053
53636.275289 19.913 0.043
53638.311089 19.921 0.031
53640.275125 19.936 0.042
53655.247296 20.020 0.066
53664.272252 19.952 0.042
53666.235857 19.914 0.032
53669.231494 19.922 0.030
53671.316268 19.907 0.039
53674.215731 19.894 0.032
53676.305210 19.905 0.029
53679.277101 19.969 0.049
53681.268613 19.891 0.033
53685.227664 20.112 0.086
53694.241543 20.106 0.083
53697.225638 19.957 0.040
53700.224596 19.977 0.035
53705.211266 19.965 0.033
53975.296295 19.953 0.036
53993.364121 19.953 0.029
53994.319281 19.924 0.029
53996.303005 19.859 0.034
#53998.271753 -99.000 0.105
54005.301875 19.919 0.027
54010.257154 19.962 0.032
54012.250009 19.962 0.040
54020.255992 19.907 0.072
54024.337526 19.921 0.041
54028.246314 19.910 0.036
54030.249525 19.926 0.027
54035.325247 19.962 0.043
54037.230736 19.953 0.036
54040.245249 19.914 0.045
54047.276100 20.006 0.074
54049.271765 19.984 0.057
54053.236034 19.972 0.036
54056.237712 20.004 0.055
#54059.232219 -99.000 0.107
54062.236939 19.953 0.051
54068.217459 19.938 0.057
54357.275144 19.875 0.034
#54362.325043 -99.000 0.080
54382.305186 19.906 0.040
54385.322965 19.857 0.031
54387.323532 19.883 0.035
54392.318205 19.748 0.036
54402.316844 19.907 0.045

