51081.282019 20.093 0.032
51819.353150 19.909 0.023
52558.318386 20.429 0.029
52577.205887 20.428 0.031
52586.209364 20.460 0.036
52910.289846 20.455 0.028
52931.220048 20.479 0.032
52935.217012 20.476 0.033
52959.160340 20.384 0.025
52963.140084 20.390 0.026
53313.210213 20.005 0.033
53352.111150 20.002 0.023
53622.319453 20.128 0.030
53634.268922 20.074 0.056
53636.274456 20.142 0.041
53638.310256 20.105 0.026
53640.274292 20.168 0.033
53655.246463 20.260 0.063
53664.271419 20.135 0.040
53666.235024 20.104 0.026
53669.230661 20.163 0.024
53671.315435 20.144 0.033
53674.214898 20.130 0.026
53676.304377 20.121 0.027
53679.276268 20.128 0.034
53681.267780 20.255 0.031
53685.226831 20.106 0.073
53694.240710 20.123 0.069
53697.224805 20.142 0.040
53700.223763 20.195 0.029
53705.210433 20.191 0.027
53975.295462 20.160 0.033
53993.363288 20.095 0.028
53994.318448 20.130 0.022
53996.302172 20.144 0.025
#53998.270919 -99.000 0.048
54005.301041 20.114 0.025
54010.256320 20.118 0.026
54012.249176 20.126 0.042
54020.255159 20.122 0.033
54024.336692 20.091 0.034
54028.245481 20.092 0.031
54030.248691 20.135 0.026
54035.324414 20.177 0.039
54037.229903 20.179 0.033
54040.244415 20.138 0.046
54047.275267 20.215 0.074
54049.270932 20.128 0.046
54053.235201 20.167 0.031
54056.236879 20.204 0.036
#54059.231386 -99.000 0.049
54062.236106 20.140 0.038
54068.216626 20.180 0.058
54357.274310 20.063 0.030
#54362.324209 -99.000 0.516
54382.304353 20.078 0.027
54385.322132 20.075 0.025
54387.322699 20.036 0.030
54392.317371 20.025 0.030
54402.316011 20.019 0.042

