#51081.284519 -99.000 0.147
51819.355650 19.810 0.090
52558.320886 20.028 0.109
52577.208387 20.190 0.133
52586.211864 20.528 0.202
52910.292346 20.180 0.108
52931.222548 20.013 0.117
52935.219512 20.386 0.150
52959.162840 20.132 0.086
52963.142584 20.238 0.097
53313.212713 19.630 0.129
53352.113650 19.682 0.083
53622.321953 20.054 0.145
53634.271422 19.866 0.150
53636.276956 20.015 0.143
53638.312756 20.006 0.098
#53640.276792 -99.000 0.756
53655.248963 20.283 0.250
53664.273919 20.033 0.125
53666.237524 19.905 0.098
53669.233161 19.884 0.084
53671.317935 19.917 0.115
53674.217398 19.882 0.095
53676.306877 19.850 0.090
53679.278768 19.956 0.127
53681.270280 20.049 0.097
53685.229331 19.990 0.164
#53694.243210 -99.000 0.379
53697.227305 19.991 0.103
53700.226263 19.953 0.109
53705.212933 20.076 0.097
53975.297962 19.923 0.103
#53993.365788 -99.000 0.119
53994.320948 19.943 0.089
53996.304672 20.019 0.106
#53998.273419 -99.000 1.319
54005.303541 20.134 0.087
54010.258820 19.975 0.081
54012.251676 20.048 0.102
#54020.257659 -99.000 0.279
54024.339192 20.121 0.154
54028.247981 19.984 0.107
54030.251191 20.019 0.084
54035.326914 20.315 0.224
54037.232403 20.041 0.104
54040.246915 20.161 0.129
54047.277767 19.999 0.176
54049.273432 19.890 0.127
54053.237701 20.181 0.113
54056.239379 20.179 0.172
#54059.233886 -99.000 0.165
54062.238606 20.033 0.170
54068.219126 20.077 0.144
54357.276810 19.909 0.081
54362.326709 19.908 0.094
54382.306853 19.830 0.103
54385.324632 20.002 0.080
54387.325199 20.045 0.116
54392.319871 19.977 0.107
54402.318511 19.795 0.099

