51081.285067 z 19.349 0.094
51819.356181 z 19.169 0.059
52558.321445 z 19.226 0.061
52577.208946 z 19.081 0.059
52586.212423 z 19.110 0.066
52910.292906 z 19.079 0.052
52931.223107 z 19.075 0.061
52935.220071 z 19.227 0.067
52959.163400 z 19.194 0.048
52963.143144 z 19.176 0.051
53313.213272 z 19.235 0.090
53352.114209 z 19.354 0.076
53622.322512 z 19.138 0.074
53634.271982 z 19.252 0.084
53636.277516 z 19.137 0.082
53638.313319 z 19.173 0.057
#53640.277353 z -99.000 0.547
53655.249522 z 19.200 0.095
53664.274479 z 19.217 0.073
53666.238083 z 18.991 0.053
53669.233722 z 19.054 0.051
53671.318494 z 19.151 0.072
53674.217958 z 18.994 0.053
53676.307436 z 19.015 0.049
53679.279328 z 18.812 0.055
53681.270840 z 19.035 0.049
53685.229890 z 19.023 0.087
53694.243770 z 18.980 0.102
53697.227865 z 19.001 0.054
53700.226824 z 19.027 0.057
53705.213493 z 19.111 0.051
53975.298520 z 19.138 0.064
53993.366297 z 19.130 0.058
53994.321508 z 19.055 0.060
53996.305256 z 19.170 0.058
#53998.274053 z -99.000 0.352
54005.304125 z 19.066 0.049
54010.259353 z 19.205 0.052
54012.252186 z 19.078 0.069
54020.258211 z 18.949 0.264
54024.339778 z 19.186 0.068
54028.248586 z 19.296 0.069
54030.251731 z 19.165 0.054
54035.327547 z 19.345 0.112
54037.232952 z 19.037 0.068
54040.247468 z 19.034 0.061
54047.278101 z 19.069 0.091
54049.273901 z 19.092 0.087
54053.238214 z 19.129 0.070
54056.239912 z 18.938 0.072
54062.239157 z 19.058 0.082
54068.219677 z 19.147 0.072
54357.277371 z 19.022 0.045
54362.327201 z 19.094 0.058
54382.307404 z 19.367 0.081
#54385.325236 z -99.000 0.060
54387.325699 z 19.172 0.061
54392.320425 z 19.121 0.075
54402.318874 z 19.239 0.067

