51081.284234 u 20.195 0.070
51819.355348 u 20.153 0.058
52558.320612 u 20.047 0.053
52577.208113 u 20.117 0.047
52586.211590 u 20.101 0.048
52910.292073 u 20.152 0.046
52931.222274 u 20.122 0.055
52935.219238 u 20.190 0.052
52959.162567 u 20.259 0.047
52963.142311 u 20.239 0.048
53313.212439 u 20.371 0.093
53352.113376 u 20.249 0.052
53622.321679 u 19.989 0.056
53634.271149 u 20.173 0.158
53636.276683 u 19.969 0.089
53638.312486 u 20.101 0.055
#53640.276520 u -99.000 0.210
53655.248689 u 19.861 0.105
53664.273646 u 19.786 0.069
53666.237250 u 19.833 0.047
53669.232889 u 19.919 0.041
53671.317661 u 19.938 0.070
53674.217125 u 19.869 0.049
53676.306603 u 19.942 0.062
53679.278495 u 19.775 0.053
53681.270007 u 19.773 0.047
53685.229057 u 19.630 0.109
53694.242937 u 19.882 0.172
53697.227032 u 19.921 0.058
53700.225991 u 19.875 0.054
53705.212660 u 19.821 0.049
53975.297687 u 20.125 0.054
53993.365464 u 20.132 0.066
53994.320675 u 20.064 0.043
53996.304422 u 20.143 0.055
53998.273220 u 20.228 0.481
54005.303291 u 20.140 0.046
54010.258520 u 20.160 0.061
54012.251353 u 20.327 0.113
#54020.257378 u -99.000 0.099
54024.338944 u 20.128 0.083
54028.247753 u 20.148 0.053
54030.250898 u 20.041 0.044
54035.326713 u 19.939 0.074
54037.232119 u 20.156 0.055
54040.246635 u 20.169 0.092
54047.277268 u 20.279 0.212
54049.273068 u 20.056 0.103
54053.237381 u 20.047 0.057
54056.239079 u 20.021 0.064
54062.238324 u 20.127 0.090
54068.218844 u 20.206 0.123
54357.276538 u 20.154 0.061
54362.326367 u 20.137 0.054
54382.306571 u 20.305 0.074
54385.324402 u 20.132 0.057
54387.324866 u 20.178 0.074
54392.319591 u 20.286 0.078
54402.318041 u 20.139 0.144

