51075.312944 20.894 0.084
51819.367821 20.886 0.103
52196.313442 21.018 0.085
52197.326548 20.900 0.096
52225.176748 20.888 0.076
52231.212531 20.819 0.070
52253.198701 20.812 0.126
52557.320531 20.756 0.074
52558.333062 20.871 0.098
52577.220563 20.938 0.110
52578.216618 20.871 0.075
52586.224042 20.803 0.082
52908.295100 20.858 0.084
52910.304523 20.897 0.091
52911.308886 20.943 0.103
52930.186259 20.913 0.109
52931.234725 20.894 0.099
52934.227001 20.962 0.116
52935.231689 20.809 0.080
52936.222928 20.983 0.081
52959.175017 20.765 0.073
52962.148450 20.844 0.077
52963.154761 20.938 0.074
53270.286987 20.733 0.065
53272.336931 20.935 0.095
53286.305648 21.121 0.182
53288.264141 20.889 0.101
53294.311815 20.975 0.113
53302.259809 21.042 0.205
53312.215493 20.678 0.086
53314.216538 20.992 0.090
#53352.125827 -99.000 0.076
53616.320900 20.938 0.127
53622.334129 21.118 0.154
#53623.311112 -99.000 0.456
53626.297324 20.900 0.097
53628.282190 20.741 0.172
53634.283599 20.770 0.230
53637.283806 20.782 0.135
53638.324933 20.860 0.100
53639.329183 20.936 0.091
53654.310876 20.869 0.089
53655.261139 21.328 0.260
53663.271779 21.134 0.179
53664.286096 21.138 0.231
53666.341880 20.850 0.176
53668.261379 21.245 0.181
53669.245339 21.078 0.097
53670.266232 20.727 0.086
53671.330110 21.485 0.234
53673.234217 21.002 0.081
53674.229575 20.879 0.093
53675.231105 20.942 0.095
#53676.319051 -99.000 0.154
53677.252136 20.865 0.073
53679.290944 21.289 0.181
53680.238801 20.992 0.094
53681.282457 21.003 0.125
53685.241508 20.596 0.208
53693.240698 21.013 0.207
#53694.255386 -99.000 0.511
53697.239482 21.230 0.149
53698.238089 20.999 0.102
53700.238440 21.264 0.190
53704.224023 20.826 0.095
53705.225109 20.922 0.112
53974.316684 20.792 0.064
53975.310104 20.830 0.091
53989.320091 21.303 0.254
#53990.322949 -99.000 0.201
53994.333140 20.905 0.078
53996.316847 21.234 0.159
53997.415737 20.967 0.105
53998.285465 20.973 0.083
54000.295543 20.924 0.095
#54005.315737 -99.000 0.078
54006.242665 20.971 0.167
54007.345707 20.934 0.089
54009.269456 20.798 0.084
54010.270994 21.039 0.117
54011.333898 21.131 0.126
54012.263823 21.410 0.258
54019.284177 20.667 0.120
54024.351423 21.122 0.167
54025.332921 20.834 0.100
54029.263310 21.161 0.129
54030.263344 20.896 0.078
54035.339098 21.305 0.296
54037.244601 20.789 0.080
54040.259050 21.217 0.244
#54047.289963 -99.000 0.620
54049.285606 21.273 0.432
54053.249834 20.734 0.082
54056.251507 20.933 0.130
54059.245814 21.250 0.206
54062.250735 21.135 0.189
54068.231256 21.869 0.623
54348.330725 20.833 0.081
54357.289001 20.808 0.091
54358.286572 20.867 0.107
54359.280509 20.821 0.174
#54362.338839 -99.000 0.080
54365.319562 21.001 0.085
54381.339157 20.671 0.067
54382.319035 21.323 0.177
54385.336835 20.835 0.086
54386.331474 21.058 0.125
54387.337362 21.176 0.157
54388.335711 20.870 0.083
54392.332055 21.223 0.165
54402.330558 20.488 0.221
54403.249673 20.458 0.241
54404.307051 20.953 0.134
54405.305003 20.979 0.121
54406.243345 20.916 0.071
54412.246315 21.051 0.111

