51075.310273 16.217 0.004
52253.196035 15.825 0.003
52911.306218 15.998 0.004
52930.183592 6.064 0.004
52934.224334 15.874 0.003
52962.145782 16.002 0.004
53286.302982 15.987 0.004
53288.261473 15.903 0.004
53294.309148 15.941 0.004
53312.212679 16.047 0.116
53616.318232 15.963 0.004
53623.308444 16.019 0.005
53637.281139 16.088 0.004
#53665.247081 -99.000 0.028
53668.258712 15.892 0.003
#53997.413087 -99.000 0.099
54000.292852 15.991 0.102
#54006.239996 -99.000 0.125
54009.266768 15.968 0.102
54025.330305 15.975 0.109
54029.260599 15.917 0.101
54358.283860 16.118 0.228
54359.277892 15.965 0.120
54386.328763 15.990 0.129
54403.246825 15.975 0.115
54412.243560 15.971 0.114

