51075.312773 15.006 0.005
52253.198535 14.979 0.005
52911.308718 15.072 0.006
52930.186092 15.002 0.005
52934.226834 15.041 0.005
52962.148282 15.076 0.005
53286.305482 15.093 0.007
53288.263973 15.046 0.005
53294.311648 15.050 0.005
53312.215179 15.097 0.083
53616.320732 15.064 0.005
#53623.310944 -99.000 0.019
53637.283639 15.048 0.005
#53665.249581 -99.000 0.013
53668.261212 15.018 0.005
#53997.415587 -99.000 0.075
54000.295352 15.079 0.078
#54006.242496 -99.000 0.040
54009.269268 15.049 0.097
54025.332805 15.033 0.079
54029.263099 15.062 0.066
54358.286360 15.089 0.104
54359.280392 15.057 0.085
54386.331263 15.040 0.090
#54403.249325 -99.000 0.088
54412.246060 15.074 0.103

