51075.300678 15.134 0.003
52253.186437 15.120 0.003
52911.296622 15.122 0.003
52934.214736 15.123 0.005
53294.299549 15.141 0.003
53312.203083 15.236 0.015
53623.298848 15.266 0.004
53637.271542 15.115 0.003
53654.298611 15.571 0.004
53656.246206 15.138 0.003
53663.259514 15.159 0.004
53668.249114 15.123 0.003
#53997.403494 -99.000 0.017
54000.283279 15.217 0.019
54011.321637 15.380 0.015
54025.320650 15.229 0.012
54029.251019 15.252 0.018
54359.268251 15.254 0.015
54373.381587 15.189 0.031
54412.233963 15.212 0.014

