51075.303178 14.303 0.004
52253.188937 14.314 0.004
52911.299122 14.299 0.004
52934.217236 14.277 0.005
53294.302049 14.309 0.004
53312.205583 14.445 0.011
#53623.301348 -99.000 0.006
53637.274042 14.306 0.004
53654.301111 14.563 0.004
53656.248706 14.297 0.004
53663.262014 14.506 0.005
53668.251614 14.301 0.004
#53997.405994 -99.000 0.021
54000.285779 14.419 0.013
54011.324137 14.677 0.014
54025.323150 14.481 0.012
54029.253519 14.455 0.017
54359.270751 14.473 0.020
54373.384087 14.429 0.015
54412.236463 14.459 0.017

