51075.302345 19.005 0.022
52253.188104 18.990 0.032
52911.298289 18.986 0.028
52934.216403 18.933 0.025
53294.301216 18.969 0.025
53312.204750 19.011 0.027
53623.300515 19.068 0.043
53637.273209 18.959 0.035
53654.300278 19.163 0.027
#53656.247873 -99.000 0.041
53663.261181 19.083 0.037
53668.250781 19.009 0.033
53997.405160 18.992 0.027
54000.284946 19.033 0.035
54011.323304 19.213 0.029
54025.322317 19.024 0.029
54029.252686 19.008 0.056
54359.269918 19.029 0.031
54373.383254 19.022 0.062
54412.235629 19.033 0.039

