51075.301980 19.583 0.027
52196.302495 19.416 0.020
52197.315667 19.443 0.021
52225.165787 19.477 0.023
52231.201572 19.472 0.019
52253.187743 19.517 0.031
52557.309574 19.491 0.024
52578.205658 19.529 0.024
52908.284139 19.531 0.024
52911.297928 19.488 0.032
52934.216041 19.500 0.026
52936.211967 19.466 0.019
52962.137489 19.494 0.023
53270.276063 19.417 0.024
53272.325971 19.387 0.021
53286.294690 19.380 0.021
53288.253180 19.315 0.018
53294.300855 19.422 0.022
53302.248849 19.363 0.025
53312.204434 19.290 0.028
53314.205578 19.306 0.020
#53616.309940 -99.000 0.079
#53623.300152 -99.000 0.027
53626.286366 19.430 0.023
53628.271231 19.393 0.028
53637.272846 19.344 0.028
53639.318224 19.395 0.019
53644.265373 19.414 0.021
53654.299917 19.520 0.023
53656.247510 19.444 0.031
53663.260820 19.488 0.021
53668.250419 19.438 0.033
53670.255272 19.447 0.021
53673.223257 19.458 0.022
53675.220144 19.371 0.022
53677.241176 19.389 0.018
53680.227843 19.408 0.020
53693.229740 19.442 0.024
53698.227131 19.334 0.035
53704.213064 19.427 0.024
53974.305739 19.470 0.025
53989.309135 19.522 0.032
53997.404756 19.440 0.025
54000.284533 19.426 0.027
54007.334738 19.479 0.025
54009.258465 19.433 0.026
54011.322942 19.306 0.028
54019.273168 19.454 0.021
54025.321956 19.436 0.026
54029.252340 19.452 0.046
54348.319751 19.394 0.033
54358.275596 19.309 0.040
54359.269550 19.371 0.037
54365.308588 19.305 0.021
54373.382795 19.363 0.043
54381.328168 19.359 0.026
54386.320506 19.332 0.025
54388.324760 19.332 0.020
54403.238582 19.305 0.028
54404.296264 19.310 0.022
54405.294138 19.312 0.026
54406.232375 19.340 0.031
54412.235316 19.327 0.033

