52197.318167 19.583 0.015
52225.168287 19.654 0.015
52231.204072 19.659 0.015
52253.190243 19.714 0.022
52557.312074 19.668 0.017
52578.208158 19.723 0.016
52908.286639 19.759 0.019
52911.300428 19.692 0.019
52934.218541 19.656 0.018
52936.214467 19.732 0.016
52962.139989 19.724 0.017
#53270.278563 -99.000 0.022
53272.328471 19.476 0.018
53286.297190 19.481 0.016
53288.255680 19.487 0.014
53294.303355 19.476 0.016
53302.251349 19.412 0.025
53312.206934 19.409 0.028
53314.208078 19.368 0.013
53616.312440 19.574 0.041
53623.302652 19.650 0.018
53626.288866 19.620 0.019
53628.273731 19.658 0.034
53637.275346 19.656 0.027
53639.320724 19.645 0.017
53644.267873 19.681 0.022
53654.302417 19.628 0.016
#53656.250010 -99.000 0.034
53663.263320 19.646 0.024
53668.252919 19.592 0.020
53670.257772 19.641 0.015
53673.225757 19.617 0.015
53675.222644 19.607 0.017
53677.243676 19.645 0.015
53680.230343 19.613 0.016
53693.232240 19.620 0.027
53698.229631 19.631 0.025
53704.215564 19.686 0.020
53974.308239 19.703 0.021
53989.311635 19.685 0.036
53997.407256 19.714 0.026
54000.287033 19.656 0.049
54007.337238 19.700 0.030
54009.260965 19.676 0.026
54011.325442 19.702 0.034
54019.275668 19.659 0.024
54025.324456 19.706 0.018
54029.254840 19.619 0.023
54348.322251 19.541 0.019
54358.278096 19.540 0.022
54359.272050 19.584 0.083
54365.311088 19.526 0.020
54373.385295 19.484 0.042
54381.330668 19.547 0.030
54386.323006 19.514 0.024
54388.327260 19.497 0.020
54403.241082 19.485 0.025
54404.298764 19.497 0.023
54405.296638 19.480 0.024
54406.234875 19.507 0.023
54412.237816 19.458 0.027
